filename,total_functions,dependent_functions,function_names,dependent_calls
magelo.R,31,0,"Clevelands.1D.deg0.loop, Clevelands.1D.deg12.loop, deg0.loo.llm.1D, fb.lm.1D, fb.rllm.1D, get.BB.gpredictions, get.gpredictions.CrI, get.gpredictionss, lcor.1D, llm.1D.beta, llm.1D.beta.perms, llm.1D.fit.and.predict, llm.1D.fit.and.predict.BB.CrI, llm.1D.fit.and.predict.global.BB, llm.1D.fit.and.predict.global.BB.CrI, llm.1D.fit.and.predict.global.BB.qCrI, loo.llm.1D, lsr.1D, magelo, magelo.fit, magelo.plot.diagnostic, magelo.plot.fit, mllm.1D, mllm.1D.fit.and.predict, plot.magelo, predict.1D, predict.rllm1D, rllm.2os.1D, rllmf.1D, row.eval, wpredict.1D",
plot_utils.R,31,0,"add.grad.ED.arrows, bin.segments3d, circle.plot, cont.segments3d, draw.3d.line, draw.axes, draw.dashed.line3d, hor.error.bar, mae.plot, map.S.to.X, panel.acor, panel.rlm, path.fn, plot.cltr.profiles, plot.diskEmbdg, plot.geodesic.3D, plot.node.level.props, plot2d.cont, plot2d.tree, plot3d.cl, plot3d.cltrs, plot3d.cont, plot3d.path, plot3d.plain, plot3d.tree, plotlcor.1D, quantize.for.legend, scale01, show.3d.cl, show.cltrs, vert.error.bar",
2d_smooth_morse_smale.R,56,0,"check.critical.point.values, check.gradient.consistency, check.point.values, compute.all.trajectories, compute.gradient.trajectory, compute.gradient.trajectory1, compute.morse.smale.cells, compute.morse.smale.cells1, compute.separatrices, create.grid, create_point, debugging.find.critical.points.with.gradient, draw.mid.arrow, draw.p.mid.arrow, evaluate.along.direction, evaluate.function.on.grid, evaluate.function.on.grid.as.vector, evaluate.mixture.on.grid, find.all.boundary.maxima, find.ascending.trajectory.from.point, find.critical.points.improved, find.critical.points.with.gradient, find.descending.trajectory.from.point, find.edge.maximum, find.grid.critical.points, find.indices.of.grid.critical.points, find.interior.saddle, find.line.intersection, find.next.ascending.point, find.next.ascending.point1, find.next.descending.point, find.next.descending.point1, generate.circle.points, get.neighbors, identify.destination.minimum, is.local.maximum, is.local.minimum, numerical.second.derivative, plot.critical.points, plot.function.contours, plot.gradient.trajectories, plot.gradient.trajectory, plot.grid.critical.points, plot.morse.analysis, plot.morse.smale.cells, plot.morse.smale.cells1, plot.morse.smale.complex, plot.morse.smale.complex.from.critical, plot.morse.smale.trajectories.from.point, plot.separatrices, plot.separatrices.with.cells, plot.trajectory.with.arrow, project.gradient.to.boundary, refine.critical.points, sample.points.for.visualization, v2.plot.separatrices.with.cells",
gflow_cx.R,6,1,"compute.extrema.hop.nbhds, create.gflow.cx, create_hop_nbhd_extrema_df, print.gflow_cx, v1.create_hop_nbhd_extrema_df, visualize.smoothing.steps",plot.graph.3d
monotonic_reachability.R,6,1,"create.grid.graph, plot.monotonic_reachability, plot_gaussian_peak_3d, test.extrema.on.gaussian.mixture, test.monotonic.reachability, test_gaussian_peak_monotonicity",detect.local.extrema
local_extrema.R,11,1,"detect.local.extrema, plot.local_extrema, print.summary.local_extrema, summary.local_extrema, test.extrema.on.gaussian.landscape, unweighted.compute.persistence, vertices, vertices.local_extrema, visualize.extrema.3d, visualize.extrema.on.grid, weighted.compute.persistence",create.grid.graph
gflow_cx_utils.R,7,2,"analyze.harmonic.extensions, apply.harmonic.extension, compare.harmonic.methods, extract.extrema.subgraphs, find.hop.distances, find.vertices.within.hops, visualize.harmonic.extension","plot.graph, plot.graph.3d"
geodesics.R,24,2,"E.geodesic.F, E.geodesic.X, compute_geodesic_path, create.tubular.nbhd.of.a.geodesic, dist.to.knn, estimate.geodesic.distances, estimate_density, euclidean.distance, fig.E.geodesic.F, geodesic.dist, geodesic.knn, geodesic.knnx, o.inv.fn, old.subdivide.path, path.dist, path.length, smooth.PL.geodesic, smooth.geodesic, subdivide.path, subdivide.path.v1, subj.D.risk, subj.factor.ppmEy.profs.df, subj.factor.signEy.profs, vars.approx.monotonically.assoc.with.geodesic","fb.rllm.1D, standardize.string"
basin_cx.R,35,2,"attach_basin_labels, basins.union, calculate_basin_distances, cluster_basins_by_overlap, compute_asc_desc_cell_intersection_matrix, construct_basin_cx_graph, create.basin.cx, create.taxonomic.labels, create_basin_cell_complex, create_basins_df, create_extrema_df, create_threshold_distance_graph, extract.basins.vertices, extract_basins_vertices, get.basin.vertices, get_basin_by_label, get_basin_vertices, get_cell_vertices, graph_embedding, intersection_size_matrix, merge.basin.cx, merge_basin_clusters, overlap_distance_matrix, plot.basin, plot.basin_cx, plot_basin_cx_graph, print.basin_cx, print.summary.basin_cx, relabel_distance_matrices, reorder_basin_dataframes, replace.basin.label.basin_cx, show.basin, show.basin.basin_cx, summarize_cells, summary.basin_cx","plot.graph, prof.fn"
graph_gradient_flow.R,11,3,"construct.gradient.flow.graph, construct.graph.gradient.flow, create.extrema.taxonomic.labels, create.gradient.flow.contingency.table, create.gradient.flow.frequency.tables, merge.basins, old.construct.gradient.flow.graph, plot.ggflow, print.summary.ggflow, replace.basin.label, summary.ggflow","draw.mid.arrow, draw.p.mid.arrow, prof.fn"
annotation.R,8,4,"add.cag.tx.to.colnames, mb.char.fn, mb.pairs.pathways, prof.fn, reverse.pair, show.tx, standardize.string, uq.mb.pair","hdbscan.cltr, kNN.cltr.imputation, plot3d.cltrs, reorder.clusters"
clustering.R,28,4,"NN.cltr.imputation, cluster.indices.ordered.by.size, controlled.synthetic.Gaussian.2D.clustering, create.sp.CAGs, ehclust, ehclust.cross.dist, embedd.and.cltr, gene.cltr.tx.purity, generate.cluster, hdbscan.cltr, inductive.clustering, kNN.cltr.imputation, knn.recltrg, log.likelihood.cut.tree, neighbor.cltrs, optimize.min.pts, plot.ehclust, plot.embedAndCltr, plot.tx, reembed.cltr, relabel.int.cltrg, reorder.clusters, split.cltrs, split.max.cltr, spp.cltr.freq, spp.cltr.freq.ehclust, synthetic.Gaussian.2D.clustering, within.cluster.means","Rpacmap, geodesic.knn, plot3d.cltrs, show.tx"
