"key","item_type","item_name","generic","class","source_file","ownership","intended_package","current_status","direct_callers","transitive_callers","tests","documentation","known_downstream_callers","lifecycle_action","target_release","protected_call_graph"
"export:compute.gfc.trajectory","export","compute.gfc.trajectory","","","R/gfc_flow.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-gfc-flow-closest-selection.R","man/compute.gfc.trajectory.Rd","vaginal_community_trajectory_types-coordination:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-coordination:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-coordination:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-coordination:docs/eod_estimation_basin_recovery_regularization_program_plan.md:129;vaginal_community_trajectory_types-coordination:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-coordination:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-coordination:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-coordination:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-coordination:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-coordination:R/od_plateau_basin_extraction.R:73;vaginal_community_trajectory_types-w1-audit:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-w1-audit:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-w1-audit:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-w1-audit:docs/eod_estimation_basin_recovery_regularization_program_plan.md:129;vaginal_community_trajectory_types-w1-audit:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-w1-audit:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-w1-audit:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w1-audit:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-w1-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-w1-audit:R/od_plateau_basin_extraction.R:73;vaginal_community_trajectory_types-w1:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-w1:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-w1:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-w1:docs/eod_estimation_basin_recovery_regularization_program_plan.md:147;vaginal_community_trajectory_types-w1:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-w1:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-w1:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w1:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-w1:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-w1:R/od_plateau_basin_extraction.R:73;vaginal_community_trajectory_types-w2:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-w2:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-w2:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-w2:analysis/148_eod_w2a_basin_extractor_contract.R:348;vaginal_community_trajectory_types-w2:docs/eod_estimation_basin_recovery_regularization_program_plan.md:129;vaginal_community_trajectory_types-w2:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-w2:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-w2:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w2:docs/eod_w2a_basin_extractor_contract.md:117;vaginal_community_trajectory_types-w2:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-w2:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:47;vaginal_community_trajectory_types-w2:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:91;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-w2:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-w2:R/od_basin_extractors.R:591;vaginal_community_trajectory_types-w2:R/od_plateau_basin_extraction.R:72;vaginal_community_trajectory_types-w3-audit:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-w3-audit:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-w3-audit:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-w3-audit:analysis/148_eod_w2a_basin_extractor_contract.R:348;vaginal_community_trajectory_types-w3-audit:docs/eod_estimation_basin_recovery_regularization_program_plan.md:129;vaginal_community_trajectory_types-w3-audit:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-w3-audit:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-w3-audit:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w3-audit:docs/eod_w2a_basin_extractor_contract.md:117;vaginal_community_trajectory_types-w3-audit:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-w3-audit:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:47;vaginal_community_trajectory_types-w3-audit:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:91;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-w3-audit:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-w3-audit:R/od_basin_extractors.R:591;vaginal_community_trajectory_types-w3-audit:R/od_plateau_basin_extraction.R:72;vaginal_community_trajectory_types-w3:analysis/120_path_graph_superlevel_basin_teaching_example.R:203;vaginal_community_trajectory_types-w3:analysis/120_path_graph_superlevel_basin_teaching_example.R:325;vaginal_community_trajectory_types-w3:analysis/122_eod_flat1d_binary_major_basin_calibration.R:369;vaginal_community_trajectory_types-w3:analysis/148_eod_w2a_basin_extractor_contract.R:348;vaginal_community_trajectory_types-w3:docs/eod_estimation_basin_recovery_regularization_program_plan.md:129;vaginal_community_trajectory_types-w3:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types-w3:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types-w3:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types-w3:docs/eod_w2a_basin_extractor_contract.md:117;vaginal_community_trajectory_types-w3:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types-w3:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:47;vaginal_community_trajectory_types-w3:docs/phase_handoffs/eod_w2a_basin_extractor_contract_implementer_handoff_2026-07-20.md:91;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types-w3:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397;vaginal_community_trajectory_types-w3:R/od_basin_extractors.R:591;vaginal_community_trajectory_types-w3:R/od_plateau_basin_extraction.R:72;vaginal_community_trajectory_types:docs/eod_estimation_basin_recovery_regularization_program_plan.md:147;vaginal_community_trajectory_types:docs/eod_flat1d_binary_major_basin_all_methods_amendment_2026-07-13.md:273;vaginal_community_trajectory_types:docs/eod_flat1d_binary_major_basin_calibration_plan_2026-07-13.md:587;vaginal_community_trajectory_types:docs/eod_program_asset_registry/candidate_manifests/F2_W2_journal.md:52;vaginal_community_trajectory_types:docs/phase_handoffs/eod_flat1d_binary_all_methods_canary_implementer_handoff_2026-07-13.md:114;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:213;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:274;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:313;vaginal_community_trajectory_types:docs/prompts/eod_w2_basin_structure_agent_prompt_2026-07-20.md:397","PROTECT","outside-cleanup-scope","yes"
"export:compute.gradient.trajectory","export","compute.gradient.trajectory","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","check.gradient.consistency;compute.morse.smale.cells;compute.morse.smale.cells1;create.morse.smale.complex;gradient.trajectories.plot","check.gradient.consistency;compute.morse.smale.cells;compute.morse.smale.cells1;create.morse.smale.complex;gradient.trajectories.plot","none","man/compute.gradient.trajectory.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.graph.gradient.flow","export","compute.graph.gradient.flow","","","R/graph_gradient_flow_basins.R","PROTECTED","gflow","public-export","none","none","none","man/compute.graph.gradient.flow.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.harmonic.extension","export","compute.harmonic.extension","","","R/harmonic_extension.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/compute.harmonic.extension.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:compute.local.distance.fidelity","export","compute.local.distance.fidelity","","","R/graph_utils.R","DGRAPHS","dgraphs","public-export","none","none","none","man/compute.local.distance.fidelity.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:compute.morse.smale.cells","export","compute.morse.smale.cells","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","none","none","none","man/compute.morse.smale.cells.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.persistence","export","compute.persistence","","","R/local_extrema.R","PROTECTED","gflow","public-export","none","none","none","man/compute.persistence.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.pextrema.nbhds","export","compute.pextrema.nbhds","","","R/compute_pextrema_nbhds.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-compute-pextrema-boundary.R","man/compute.pextrema.nbhds.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:compute.potential.pseudotime.sparse","export","compute.potential.pseudotime.sparse","","","R/diffusion_pseudotime_sparse.R","DGRAPHS","dgraphs","public-export","none","none","tests/testthat/test-diffusion-pseudotime-sparse.R","man/compute.potential.pseudotime.sparse.Rd","cell_cycle:docs/pseudotime_hvg_3k5k8k_k_sweep_report.md:90;ZB:analysis/asv/057-bgd_m1_enrolment_disk_prevalence_test.R:472;ZB:analysis/asv/058-bgd_m1_geodesic_vs_potential_disk_viz.R:252;ZB:analysis/asv/058-bgd_m1_geodesic_vs_potential_disk_viz.R:459;ZB:analysis/asv/059-bgd_long_edge_leakage_superiority.R:220;ZB:analysis/asv/060-bgd_all_extrema_enrolment_disk_prevalence_test.R:479;ZB:analysis/asv/061-bgd_all_extrema_disk_leakage_test.R:286;ZB:analysis/asv/063-bgd_m1_multimodal_disk_assoc.R:339;ZB:analysis/asv/067-sel_vertgex_multimodal_vertex_assoc.R:370;ZB:analysis/workflows/chm_gateway_prep/085-sel_vertex_multimodal_vertex_assoc_l1dev.R:370","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:compute.tube.lens.corridor","export","compute.tube.lens.corridor","","","R/tube_lens_corridor.R","CORE-ANALYSIS","gflow","public-export","none","none","tests/testthat/test-tube-lens-corridor.R","man/compute.tube.lens.corridor.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:compute.vertex.density","export","compute.vertex.density","","","R/vertex_density.R","CORE-ANALYSIS","gflow","public-export","compute.gfc.modulation","compute.gfc.modulation","none","man/compute.vertex.density.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:congruence.with.labels","export","congruence.with.labels","","","R/clustering.R","CORE-PRIVATE","gflow-internal-or-specialist-package","public-export","none","none","tests/testthat/test-congruence-with-labels.R","man/congruence.with.labels.Rd","CT_clearance:scripts/70_compare_ct_phylotype_graph_dcst_congruence.R:176;CT_clearance:scripts/70_compare_ct_phylotype_graph_dcst_congruence.R:320;CT_clearance:scripts/70_compare_ct_phylotype_graph_dcst_congruence.R:382","REVIEW-AND-DEEXPORT","phase-5-or-6","no"
"export:construct.gflow.graph","export","construct.gflow.graph","","","R/gflow_graph.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/construct.gflow.graph.Rd","vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:226","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:construct.graph.gradient.flow","export","construct.graph.gradient.flow","","","R/graph_gradient_flow.R","PROTECTED","gflow","public-export","none","none","none","man/construct.graph.gradient.flow.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:construct.madag","export","construct.madag","","","R/madag.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/construct.madag.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:construct.path.through.waypoints","export","construct.path.through.waypoints","","","R/gfc_flow.R","PROTECTED","gflow","public-export","none","none","none","man/construct.path.through.waypoints.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:construct.potential.metric.graph","export","construct.potential.metric.graph","","","R/potential_metric_graph.R","DGRAPHS","dgraphs","public-export","construct.potential.metric.graph.from.phate","construct.potential.metric.graph.from.phate","none","man/construct.potential.metric.graph.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:construct.potential.metric.graph.from.phate","export","construct.potential.metric.graph.from.phate","","","R/potential_metric_graph.R","DGRAPHS","dgraphs","public-export","none","none","none","man/construct.potential.metric.graph.from.phate.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:count.feature.carriers","export","count.feature.carriers","","","R/gfc_flow.R","PROTECTED","gflow","public-export","none","none","none","man/count.feature.carriers.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.basin.complex","export","create.basin.complex","","","R/basin_complex.R","PROTECTED","gflow","public-export","as.basin.complex.basin_cx;as.basin.complex.basins_of_attraction;as.basin.complex.gfc.flow","as.basin.complex.basin_cx;as.basin.complex.basins_of_attraction;as.basin.complex.gfc.flow","tests/testthat/test-basin-complex-phase-b.R;tests/testthat/test-basin-complex-phase-c.R;tests/testthat/test-basin-complex-phase-d.R;tests/testthat/test-basin-complex-phase-e.R;tests/testthat/test-basin-complex-phase-f.R;tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R;tests/testthat/test-basin-complex-plateau-flow.R","man/create.basin.complex.Rd","vaginal_community_trajectory_types:analysis/120_path_graph_superlevel_basin_teaching_example.R:211;vaginal_community_trajectory_types:analysis/120_path_graph_superlevel_basin_teaching_example.R:339;vaginal_community_trajectory_types:analysis/122_eod_flat1d_binary_major_basin_calibration.R:368;vaginal_community_trajectory_types:analysis/235_gflow_basin_cleanup_phase_g_migration_smoke.R:45;vaginal_community_trajectory_types:analysis/235_gflow_basin_cleanup_phase_g_migration_smoke.R:59;vaginal_community_trajectory_types:docs/eod_w2_w3_pathwise_basin_implementation_phases_2026-07-25.md:124;vaginal_community_trajectory_types:docs/eod_w2_w3_pathwise_basin_implementation_phases_2026-07-25.md:127;vaginal_community_trajectory_types:docs/eod_w2_w3_phase0_contracts_2026-07-25.md:345;vaginal_community_trajectory_types:docs/eod_w2_w3_phase0_contracts_2026-07-25.md:351;vaginal_community_trajectory_types:docs/eod_w2_w3_phase0_contracts_2026-07-25.md:409;vaginal_community_trajectory_types:docs/phase_handoffs/gflow_basin_methods_cleanup_completion_handoff_2026-07-26.md:39;vaginal_community_trajectory_types:R/od_basin_extractors.R:400;vaginal_community_trajectory_types:R/od_plateau_basin_extraction.R:72","PROTECT","outside-cleanup-scope","yes"
"export:create.basin.cx","export","create.basin.cx","","","R/basin_cx.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-basin-complex-phase-g.R;tests/testthat/test-basin-complex-phase-h.R","man/create.basin.cx.Rd","vaginal_community_trajectory_types-coordination:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w1-audit:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w1:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w2:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w3-audit:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types-w3:docs/community_typing_parallel_development_plan.md:226;vaginal_community_trajectory_types:docs/community_typing_parallel_development_plan.md:226","PROTECT","outside-cleanup-scope","yes"
"export:create.gflow.cx","export","create.gflow.cx","","","R/gflow_cx.R","PROTECTED","gflow","public-export","none","none","none","man/create.gflow.cx.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.grid","export","create.grid","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","none","none","tests/testthat/test-dgraphs-constructor-boundary.R","man/create.grid.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.hop.nbhd.extrema.df2","export","create.hop.nbhd.extrema.df2","","","R/gflow_cx.R","PROTECTED","gflow","public-export","none","none","none","man/create.hop.nbhd.extrema.df2.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.lmin.lmax.contingency.table","export","create.lmin.lmax.contingency.table","","","R/graph_MS_cx.R","PROTECTED","gflow","public-export","morse.smale.complex.lmin.lmax.summary","morse.smale.complex.lmin.lmax.summary","none","man/create.lmin.lmax.contingency.table.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.lmin.lmax.label.indicators","export","create.lmin.lmax.label.indicators","","","R/graph_MS_cx.R","PROTECTED","gflow","public-export","morse.smale.complex.lmin.lmax.summary","morse.smale.complex.lmin.lmax.summary","none","man/create.lmin.lmax.label.indicators.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.lmin.lmax.labels","export","create.lmin.lmax.labels","","","R/graph_MS_cx.R","PROTECTED","gflow","public-export","morse.smale.complex.lmin.lmax.summary","morse.smale.complex.lmin.lmax.summary","none","man/create.lmin.lmax.labels.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.morse.smale.complex","export","create.morse.smale.complex","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","none","none","none","man/create.morse.smale.complex.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:create.pruned.isize.list","export","create.pruned.isize.list","","","R/graph_utils.R","DGRAPHS","dgraphs","public-export","none","none","none","man/create.pruned.isize.list.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:create.vertex.label.indicators","export","create.vertex.label.indicators","","","R/graph_utils.R","DGRAPHS","dgraphs","public-export","none","none","none","man/create.vertex.label.indicators.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:create.vertex.labels","export","create.vertex.labels","","","R/graph_utils.R","DGRAPHS","dgraphs","public-export","none","none","none","man/create.vertex.labels.Rd","none","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:critical.points.plot","export","critical.points.plot","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","morse.smale.complex.plot.from.critical","morse.smale.complex.plot.from.critical","none","man/critical.points.plot.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:detect.graph.endpoints","export","detect.graph.endpoints","","","R/graph_endpoint_geometry.R","DGRAPHS","dgraphs","public-export","none","none","tests/testthat/test-dgraphs-namespace-boundary.R;tests/testthat/test-graph-endpoint-geometry.R","man/detect.graph.endpoints.Rd","AGP:R/20_embedding_geometry_threshold_sweep.R:340","REVIEW-DEEXPORT-OR-ADAPTER","phase-5-or-6","no"
"export:detect.local.extrema","export","detect.local.extrema","","","R/local_extrema.R","PROTECTED","gflow","public-export","detect.graph.endpoints","detect.graph.endpoints","tests/testthat/test-dgraphs-namespace-boundary.R","man/detect.local.extrema.Rd","dgraphs:development/ai/PHASE2_OWNERSHIP_LEDGER.md:76;dgraphs:GRAPH_MIGRATION_ACTION_PLAN.md:70","PROTECT","outside-cleanup-scope","yes"
"export:detect.major.arms","export","detect.major.arms","","","R/major_arms.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/detect.major.arms.Rd","AGP:R/17_evenness_endpoints_k7.R:1011","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:distance.quantile.bin.analysis","export","distance.quantile.bin.analysis","","","R/distance_quantile_bin_analysis.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/distance.quantile.bin.analysis.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:draw.basin","export","draw.basin","","","R/compute_basins_of_attraction.R","PROTECTED","gflow","public-export","none","none","none","man/draw.basin.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:E.geodesic.X","export","E.geodesic.X","","","R/geodesics.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/E.geodesic.X.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:elapsed.time","export","elapsed.time","","","R/utils.R","PROTECTED","gflow","public-export","box.tiling;create.adaptive.tiled.X.grid.xD;create.X.grid.xD;dx.vs.gRf.mod.gSf;E.geodesic.X;morse.smale.graph.persistence;test.graph.MS.cx.on.synth.cloud.data;total.associations;wasserstein.ipNNuv","box.tiling;create.adaptive.tiled.X.grid.xD;create.X.grid.xD;dx.vs.gRf.mod.gSf;E.geodesic.X;hgrid;morse.smale.graph.persistence;test.graph.MS.cx.on.synth.cloud.data;total.associations;wasserstein.ipNNuv","none","man/elapsed.time.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:estimate_density","export","estimate_density","","","R/geodesics.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/estimate_density.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:evaluate.function.on.grid","export","evaluate.function.on.grid","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","morse.smale.complex.plot;morse.smale.complex.plot.from.critical;plot.morse.smale.trajectories.from.point","morse.smale.complex.plot;morse.smale.complex.plot.from.critical;plot.morse.smale.trajectories.from.point","none","man/evaluate.function.on.grid.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:evaluate.function.on.grid.as.vector","export","evaluate.function.on.grid.as.vector","","","R/2d_smooth_morse_smale.R","PROTECTED","gflow","public-export","none","none","none","man/evaluate.function.on.grid.as.vector.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:expand.basins.to.cover","export","expand.basins.to.cover","","","R/compute_gfc.R","PROTECTED","gflow","public-export",".refine.expansion",".refine.expansion","none","man/expand.basins.to.cover.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:extract.cell.trajectory","export","extract.cell.trajectory","","","R/gradient_basin_utilities.R","PROTECTED","gflow","public-export","none","none","none","man/extract.cell.trajectory.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:extract.cluster.representatives","export","extract.cluster.representatives","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/extract.cluster.representatives.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:extract.dbscan.cluster.representatives","export","extract.dbscan.cluster.representatives","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/extract.dbscan.cluster.representatives.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:extract.extrema.subgraphs","export","extract.extrema.subgraphs","","","R/gflow_cx_utils.R","CORE-ANALYSIS","gflow","public-export","analyze.harmonic.extensions","analyze.harmonic.extensions","none","man/extract.extrema.subgraphs.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:extract.gradient.trajectory","export","extract.gradient.trajectory","","","R/gradient_basin_utilities.R","PROTECTED","gflow","public-export","extract.cell.trajectory;extract.vertices.terminating.at","extract.cell.trajectory;extract.vertices.terminating.at","none","man/extract.gradient.trajectory.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:extremality.summary","export","extremality.summary","","","R/extremality_utils.R","CORE-ANALYSIS","gflow","public-export","none","none","none","man/extremality.summary.Rd","none","KEEP-PENDING-S3-REVIEW","phase-6","no"
"export:filter.basins","export","filter.basins","","","R/filter_basins.R","PROTECTED","gflow","public-export","none","none","none","man/filter.basins.Rd","none","PROTECT","outside-cleanup-scope","yes"
"export:filter.basins.by.relvalue","export","filter.basins.by.relvalue","","","R/filter_basins_by_relvalue.R","PROTECTED","gflow","public-export","none","none","none","man/filter.basins.by.relvalue.Rd","none","PROTECT","outside-cleanup-scope","yes"
